Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total),Withholding tax,Currency (Withholding tax)
Dividend (Dividend),2024-12-27 16:50:44,IE00B2NPKV68,SEMB,iShares J.P. Morgan USD EM Bond (Dist),15.0,37.12,GBX,Not available,5.57,GBP,-0.0,GBX
Dividend (Dividend),2024-08-02 10:50:55,GB00BYT1DJ19,ICG,Intermediate Capital Group,2.0,53.2,GBX,Not available,1.06,GBP,0.0,GBX
Dividend (Dividend),2024-11-07 12:10:34,NL0010273215,ASML,ASML,3.0,1.29,EUR,Not available,3.22,GBP,0.68,EUR
Dividend (Dividend),2024-11-07 12:14:43,IE0003UVYC20,JEGP,JPMorgan Global Equity Premium Income Active (Dist),50.0,11.37,GBX,Not available,5.68,GBP,-0.0,GBX
Dividend (Dividend),2024-09-30 11:42:14,IE00BYXVWC37,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),115.0,0.06,GBP,Not available,7.26,GBP,0.0,GBP
Dividend (Ordinary),13/05/2022 10:35,US0378331005,AAPL,Apple,1.0,0.2,USD,Not available,0.16,GBP,0.03,USD
Dividend (Ordinary),16/05/2022 09:38,NL0010273215,ASML,ASML,0.132,3.15,EUR,Not available,0.35,GBP,0.07,EUR
Dividend (Ordinary),17/05/2022 12:31,US00287Y1091,ABBV,AbbVie,0.07,1.2,USD,Not available,0.07,GBP,0.01,USD
Dividend (Ordinary),19/05/2022 07:46,DE000PAH0038,PAH3,Porsche Automobil Holding,0.07,1.88,EUR,Not available,0.11,GBP,0.05,EUR
Dividend (Ordinary),27/05/2022 12:48,CA0636711016,BMO,Bank of Montreal,0.14,0.88,USD,Not available,0.1,GBP,0.02,USD
Dividend (Ordinary),02/06/2022 12:50,US4581401001,INTC,Intel,0.85,0.31,USD,Not available,0.21,GBP,0.05,USD
Dividend (Ordinary),07/06/2022 13:04,CA29250N1050,ENB,Enbridge,0.6,0.58,USD,Not available,0.28,GBP,0.06,USD
Dividend (Ordinary),09/06/2022 11:04,US0311621009,AMGN,Amgen,0.08,1.65,USD,Not available,0.11,GBP,0.02,USD
Dividend (Ordinary),10/06/2022 07:41,US5949181045,MSFT,Microsoft,0.02,0.53,USD,Not available,0.01,GBP,0.0,USD
Dividend (Ordinary),15/06/2022 13:08,US0625401098,BOH,Bank of Hawaii,1.0,0.6,USD,Not available,0.49,GBP,0.11,USD
Dividend (Ordinary),24/06/2022 10:09,US7475251036,QCOM,Qualcomm,1.0,0.64,USD,Not available,0.52,GBP,0.11,USD
Dividend (Ordinary),01/07/2022 07:43,JP3756600007,NTO,Nintendo,0.015,8.45,EUR,Not available,0.11,GBP,0.02,EUR
Dividend (Ordinary),04/07/2022 15:06,US67066G1040,NVDA,NVIDIA,0.2,0.03,USD,Not available,0.01,GBP,0.0,USD
Dividend (Ordinary),05/07/2022 07:27,FR0000120271,TTE,TotalEnergies,0.2,0.5,EUR,Not available,0.09,GBP,0.03,EUR
Dividend (Ordinary),11/07/2022 09:18,US6819191064,OMC,Omnicom,0.05,0.6,USD,Not available,0.02,GBP,0.01,USD
Dividend (Ordinary),27/07/2022 08:25,US68389X1054,ORCL,Oracle,0.05,0.27,USD,Not available,0.01,GBP,0.0,USD
Dividend (Ordinary),01/08/2022 09:39,CA1360691010,CM,Canadian Imperial Bank of Commerce,0.2,0.55,USD,Not available,0.09,GBP,0.02,USD
Dividend (Ordinary),02/08/2022 08:36,US1101221083,BMY,Bristol-Myers Squibb,0.1,0.46,USD,Not available,0.04,GBP,0.01,USD
Dividend (Ordinary),12/08/2022 08:02,US0378331005,AAPL,Apple,1.0,0.2,USD,Not available,0.16,GBP,0.03,USD
